Health Facility,Zone Name,Zone ID,Village Name,Village ID
Chilala,,804024,,804024
Chilala,Chilala,80402401,,80402401
Chilala,Chilala,80402401,Chilala,8040240101
Chilala,Chilala,80402401,Chivunya,8040240102
Chilala,Chilala,80402401,Chilyata,8040240103
Chilala,Chilala,80402401,Mwaayo,8040240104
Chilala,Chilala,80402401,Monde,8040240105
Chilala,Chilala,80402401,Namungundu,8040240106
Chilala,Chilala,80402401,Kabumbwe,8040240107
Chilala,Chilala,80402401,Mwabbila,8040240108
Chilala,Chilala,80402401,Nchibwende,8040240109
Chilala,Chilala,80402401,Mweebo,8040240110
Chilala,Chilala,80402401,Chungu,8040240111
Chilala,Chilala,80402401,Hachimpombe,8040240112
Chilala,Mwebo,80402402,,80402402
Chilala,Mwebo,80402402,Chuubo,8040240201
Chilala,Mwebo,80402402,Chilyata,8040240202
Chilala,Mwebo,80402402,Hamuyala,8040240203
Chilala,Mwebo,80402402,Mapulanga,8040240204
Chilala,Mwebo,80402402,Mulobela,8040240205
Chilala,Mwebo,80402402,Lingamba,8040240206
Chilala,Mwebo,80402402,Hanampota,8040240207
Chilala,Kaminya,80402403,,80402403
Chilala,Kaminya,80402403,Singowa,8040240301
Chilala,Kaminya,80402403,Simakanta,8040240302
Chilala,Kaminya,80402403,Makwenda,8040240303
Chilala,Kaminya,80402403,Jombo,8040240304
Chilala,Chikanta,80402404,,80402404
Chilala,Chikanta,80402404,Nakasamu,8040240401
Chilala,Chikanta,80402404,hamukasunka,8040240402
Chilala,Chikanta,80402404,Simakanta,8040240403
Chilala,Chikanta,80402404,Nabuundu,8040240404
Chilala,Chikanta,80402404,Simoono,8040240405
Chilala,Chikanta,80402404,Similindi,8040240406
Chilala,Chikanta,80402404,Natanga,8040240407
Chilala,Chikanta,80402404,Kabumbwe,8040240408
Chilala,Chikanta,80402404,Chungu,8040240409
Chilala,Chikanta,80402404,Makwenda,8040240410
Chilala,Chikanta,80402404,Namaloongo,8040240411
Chilala,Chikanta,80402404,Misinzo,8040240412
Chilala,Hanzembwe,80402405,,80402405
Chilala,Hanzembwe,80402405,Hanzembwe,8040240501
Chilala,Hanzembwe,80402405,Handavwu,8040240502
Chilala,Hanzembwe,80402405,Sinzala,8040240503
Chilala,Hanzembwe,80402405,Simungoma,8040240504
Chilala,Hanzembwe,80402405,Mwabbila,8040240505
Chilala,Hanzembwe,80402405,Makupe,8040240506
Chilala,Hanzembwe,80402405,Similindi,8040240507
Chilala,Hanzembwe,80402405,Chivwunya,8040240508
Chilala,Hanzembwe,80402405,Habalengu,8040240509
Chilala,Sichmbwali,80402406,,80402406
Chilala,Sichmbwali,80402406,Kantoolo,8040240601
Chilala,Sichmbwali,80402406,Sichimbwali,8040240602
Chilala,Sichmbwali,80402406,Namalindi,8040240603
Chilala,Sichmbwali,80402406,Handavu,8040240604
Chilala,Sichmbwali,80402406,Kauwe,8040240605
Chilala,Sichmbwali,80402406,Katambo,8040240606
Chilala,Sichmbwali,80402406,Habalengu,8040240607
Chilala,Sichmbwali,80402406,Kuliwa,8040240608
Chilala,Sichmbwali,80402406,Chibyabusiku,8040240609
Chilala,Sichmbwali,80402406,Kanyungwa,8040240610
Chilala,Sichmbwali,80402406,Matimba,8040240611
Chilala,Sichmbwali,80402406,Malindi,8040240612
Chilala,Sichmbwali,80402406,Hamubbampa,8040240613
Chilala,Sichmbwali,80402406,Simwembela,8040240614
Chilala,Sichmbwali,80402406,Sivwimikamwi,8040240615
Chilala,Sichmbwali,80402406,Mubinda,8040240616
Chilala,Sichmbwali,80402406,Mupande,8040240617
Chilala,Hambweka,80402407,,80402407
Chilala,Hambweka,80402407,Hambweka,8040240701
Chilala,Hambweka,80402407,Mateele,8040240702
Chilala,Hambweka,80402407,Makondo,8040240703
Chilala,Hambweka,80402407,Moomba,8040240704
Chilala,Hambweka,80402407,Hachibabu,8040240705
Chilala,Hambweka,80402407,Kauwe,8040240706
Kalomo HAHC,,804030,,804030
Kalomo HAHC,Katanda,80403001,,80403001
Kalomo HAHC,Katanda,80403001,Simbansao,8040300101
Kalomo HAHC,Katanda,80403001,Stain,8040300102
Kalomo HAHC,Katanda,80403001,Tooboi,8040300103
Kalomo HAHC,Katanda,80403001,Simooloka,8040300104
Kalomo HAHC,Katanda,80403001,Kangala,8040300105
Kalomo HAHC,Katanda,80403001,Kayumba,8040300106
Kalomo HAHC,Katanda,80403001,Kabenza,8040300107
Kalomo HAHC,Katanda,80403001,Lwambi,8040300108
Kalomo HAHC,Muyuni,80403002,,80403002
Kalomo HAHC,Muyuni,80403002,Kangela,8040300201
Kalomo HAHC,Muyuni,80403002,Mutanga,8040300202
Kalomo HAHC,Muyuni,80403002,Sibbula,8040300203
Kalomo HAHC,Muyuni,80403002,Siananjokwe,8040300204
Kalomo HAHC,Muyuni,80403002,Salt,8040300205
Kalomo HAHC,Muyuni,80403002,Motoyandane,8040300206
Kalomo HAHC,Muyuni,80403002,Muzyamba,8040300207
Kalomo HAHC,Boongo,80403003,,80403003
Kalomo HAHC,Boongo,80403003,Malala,8040300301
Kalomo HAHC,Boongo,80403003,Siambela,8040300302
Kalomo HAHC,Boongo,80403003,Siachifulo,8040300303
Kalomo HAHC,Boongo,80403003,Lwaambi,8040300304
Kalomo HAHC,Matoondo,80403004,,80403004
Kalomo HAHC,Matoondo,80403004,Simutete,8040300401
Kalomo HAHC,Matoondo,80403004,Dafani,8040300402
Kalomo HAHC,Matoondo,80403004,Simuluwe,8040300403
Kalomo HAHC,Matoondo,80403004,Mancom,8040300404
Kalomo HAHC,Matoondo,80403004,Simundaduli,8040300405
Kalomo HAHC,Kinatone,80403005,,80403005
Kalomo HAHC,Kinatone,80403005,Country club farm,8040300501
Kalomo HAHC,Kinatone,80403005,Dube farm,8040300502
Kalomo HAHC,Kinatone,80403005,Tutalike farm,8040300503
Kalomo HAHC,Kinatone,80403005,Siapenga Farm,8040300504
Kalomo HAHC,Kinatone,80403005,Nyambe farm,8040300505
Kalomo HAHC,Kinatone,80403005,Musa farm,8040300506
Kalomo HAHC,Kinatone,80403005,Siamapuka farm,8040300507
Kalomo HAHC,Kinatone,80403005,Kinatone community school,8040300508
Kalomo HAHC,Kinatone,80403005,Banji farm,8040300509
Kalomo HAHC,Kinatone,80403005,Haamonga farm,8040300510
Kalomo HAHC,Kinatone,80403005,Chaala farm,8040300511
Kalomo HAHC,Kinatone,80403005,Sishamu farm,8040300512
Kalomo HAHC,Bowood,80403006,,80403006
Kalomo HAHC,Bowood,80403006,Simatanga farm,8040300601
Kalomo HAHC,Bowood,80403006,Siakasasa farm,8040300602
Kalomo HAHC,Bowood,80403006,Bowood rail station,8040300603
Kalomo HAHC,Bowood,80403006,Hambwalu farm,8040300604
